alcohol,chlorides,citric_acid,density,fixed_acidity,free_sulfur_dioxide,ph,quality,residual_sugar,sulphates,total_sulfur_dioxide,volatile_acidity
12.9,0.16416,0.31,0.9995308434957425,15.2,27.1,3.68,5,11.8,1.06,238.4,0.87
11.6,0.10692000000000002,0.24,0.9903626020420057,9.9,5.9,3.31,8,7.4,0.48,217.4,0.68
10.3,0.10152000000000001,0.27,1.001813254263083,9.4,66.9,2.94,5,14.4,0.84,103.4,0.59
13.1,0.09288,0.2,1.00354713837777,8.6,41.1,3.52,7,14.6,0.88,127,1.37
14.5,0.13716,0.92,0.993016116328319,12.7,71.6,3.11,4,11.5,1.39,29.9,0.19
11.9,0.162,0.62,0.9998954463958064,15,35.2,3.99,5,14,1.02,79.7,1
12.1,0.09396,0,0.9975513861260716,8.7,49,3.39,5,9.1,1.52,23.3,1.41
12.2,0.11772,0.4,0.9955185812292267,10.9,64,3.46,5,10,0.86,195.1,0.61
12.4,0.14904,0.9,1.0031205915661068,13.8,6.9,3.4,5,7.1,1.27,184,1.55
12.8,0.14364000000000002,0.29,1.0023858290146432,13.3,65.8,3.81,7,13.9,1.29,80.7,1.17
14.9,0.15012,0.7,0.9916724247663652,13.9,66.4,3.79,5,8.2,0.75,216.1,1.08
9.1,0.14472000000000002,0.32,0.9995679434347059,13.4,7.6,3.66,6,14.4,1.31,182.3,1.48
14.2,0.05724,0.52,0.9997662049251992,5.3,18.8,2.92,6,2.8,1.08,222.1,1.54
9.2,0.0594,0.17,0.9907156308581272,5.5,8.9,2.77,6,2.4,0.98,141,0.48
13,0.10584000000000002,0.88,0.9925911783752117,9.8,25.9,3.29,5,4,1.59,132.7,0.5
13.5,0.10368000000000001,0.31,0.992134595384644,9.6,33.7,3.04,5,12.8,1.96,204.4,1.27
9.7,0.08856,0.08,0.9918075328893099,8.2,64.6,3.39,6,3,1.65,31.2,1.04
14,0.1242,0.6,1.001068032956454,11.5,41.5,3.21,7,10.1,1.74,147.6,1.43
9.8,0.13068,0.67,0.992737585341689,12.1,27.9,3.06,6,1,1.39,229.2,0.79
11.4,0.1242,0.95,0.9950381209439184,11.5,11.8,3.9,5,10.8,1.36,172.8,1.28
10.7,0.06696,0.29,0.9920229531966231,6.2,58.7,3.33,6,14.8,1.54,254,1.15
11.5,0.06048,0.39,0.9926785120815533,5.6,6,3.72,7,14.3,0.74,16.8,0.99
14,0.09828,0.52,0.9986591852194318,9.1,41.4,2.95,6,4.4,1.7,153.6,1.09
